source_file,sheet_name,model,operator_no,station_no,cart,bin_location,step_no,component_part,quantity,process_route,width,depth,height,volume,storage,bin_model,bin_capacity,batch_size,days_of_stock,required_bins,assembled_using,tool_used
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,5.0,9.0,C29-B2-PB29,,63,ASY-03153-05;A0,1.0,TURR - BRK - PEM,27.0,22.0,0.4,237.60000000000002,Bin,2,46.0,92.0,3.68,2.0,SK41H x99,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,5.0,9.0,C30-B2-PB30,,64,ASY-04757-04;A0,1.0,TURR - BRK - PEM,27.5,13.4,0.9,331.65000000000003,Bin,2,33.0,66.0,2.64,2.0,"SK41H x51
SK42H x10",Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,5.0,9.0,,,65,MTL-02247-05;A0,1.0,TURR - BRK,35.8,27.4,0.8,784.7359999999999,Cart,,,,,,"SK41H x44
SKK3030PT x27
SK42H x24",Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,5.0,9.0,C28-B1-PB28,,66,MTL-02322-03;B0,1.0,TURR - OSP,21.0,0.7,0.1,1.47,Bin,1,1136.0,100.0,4.0,0.0880281690140845,FAS-05905 x2,"Atornillador
6 in/lb"
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,5.0,9.0,C28-B1-PB28,,67,A MECH-01754-04,9.0,BUY,1.2,0.7,0.6,0.504,Bin,1,3314.0,900.0,4.0,0.27157513578756787,"FAS-00532
15 in/lbs",Atornillador
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,C31-B2-PB31,,1,ASY-03185-02;A0,3.0,,17.1,1.4,0.9,21.546000000000003,Bin,2,501.0,300.0,4.0,0.5988023952095808,Place in fixture,Manually
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,C31-B2-PB31,,1,ASY-04183-01;A0,1.0,,17.1,1.7,0.9,26.163,Bin,2,413.0,100.0,4.0,0.24213075060532688,Place in fixture,Manually
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,C32-B2-PB32,,2,ASY-03184-05;A0,1.0,,24.4,17.0,1.7,705.1599999999999,Bin,2,26.0,52.0,2.08,2.0,"Place in fixture
SK41H x58",Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,C33-B2-PB33,,4,MTL-02258-06;A0,10.0,,24.7,1.6,0.1,3.9520000000000004,Bin,2,2728.0,1250.0,5.0,0.45821114369501464,SK3025PT x2,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,C34-B2-PB34,,6,ASY-03187-07;A0,1.0,,28.0,17.0,1.7,809.1999999999999,Bin,2,28.0,56.0,2.24,2.0,SK3030PT x4,Rivet gun
