source_file,sheet_name,process_sheet_number,end_item_part,parent_part,work_center,step_number,run_setup,operation_code,component_part,description,standard_rate,lead_time,crew_size
North face - Components matrix 1.xlsx,Assy WC,ASY-03189-05;A0,ASY-03189-05;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,25.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03189-05;A0,ASY-03189-05;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,30.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03278-05;A0,ASY-03278-05;A0,ASY-53727-127;A0,6AARI,00110,R,801,,ENSAMBLE SEGUN DIBUJO,8.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03327-02;A0,ASY-03327-02;A0,ASY-53727-127;A0,6N03,00110,R,104,,CORTE LASER AMADA,180.0,0.0,0.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03327-02;A0,ASY-03327-02;A0,ASY-53727-127;A0,6BRG,00130,R,303,,ESTAMPADO NO PARTE,250.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03327-02;A0,ASY-03327-02;A0,ASY-53727-127;A0,6BRK,00150,R,302,,DOBLADORA AMADA,48.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03327-02;A0,ASY-03327-02;A0,ASY-53727-127;A0,6APEM,00170,R,400,,INSERCION DE PEM,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03327-02;A0,ASY-03327-02;A0,ASY-53727-127;A0,6APEM,00190,R,400,,INSERCION DE PEM,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03327-02;A0,ASY-03327-02;A0,ASY-53727-127;A0,6ASB,00210,R,801,,ENSAMBLE SEGUN DIBUJO,50.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03330-03;A0,ASY-03330-03;A0,ASY-53727-127;A0,6AARI,00110,R,801,,ENSAMBLE SEGUN DIBUJO,25.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03333-04;A0,ASY-03333-04;A0,ASY-53727-127;A0,6N04,00110,R,102,,PUNZONADO EN TORRETA,300.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03333-04;A0,ASY-03333-04;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03333-04;A0,ASY-03333-04;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,300.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03333-04;A0,ASY-03333-04;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03668-01;A0,ASY-03668-01;A0,ASY-53727-127;A0,6N04,00110,R,102,,PUNZONADO EN TORRETA,200.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03668-01;A0,ASY-03668-01;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03668-01;A0,ASY-03668-01;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,145.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03668-01;A0,ASY-03668-01;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,40.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03727-27;A0,ASY-03727-27;A0,ASY-53727-127;A0,6AARI,00100,R,801,,ENSAMBLE SEGUN,0.667,0.0,2.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03727-27;A0,ASY-03727-27;A0,ASY-53727-127;A0,6AARI,00110,R,,,PRUEBA EN EL CUARTO,0.667,0.0,2.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04138-02;A0,ASY-04138-02;A0,ASY-53727-127;A0,6ASAN,00100,R,801,,ENSAMBLE SEGUN DIBUJO,120.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04181-02;A0,ASY-04181-02;A0,ASY-53727-127;A0,6N04,00110,R,102,,PUNZONADO EN TORRETA,80.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04181-02;A0,ASY-04181-02;A0,ASY-53727-127;A0,6P200,00130,R,,,RUN PIERCE/BLANK DIE,300.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04181-02;A0,ASY-04181-02;A0,ASY-53727-127;A0,6BRK,00150,R,302,,DOBLADORA AMADA,45.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04181-02;A0,ASY-04181-02;A0,ASY-53727-127;A0,6APEM,00170,R,400,,INSERCION DE PEM,67.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04183-01;A0,ASY-04183-01;A0,ASY-53727-127;A0,6N03,00110,R,104,,CORTE LASER AMADA,34.0,0.0,0.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04183-01;A0,ASY-04183-01;A0,ASY-53727-127;A0,6APEM,00130,R,400,,INSERCION DE PEM,30.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04183-01;A0,ASY-04183-01;A0,ASY-53727-127;A0,6BRG,00150,R,303,,ESTAMPADO DE NUMERO DE,250.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04183-01;A0,ASY-04183-01;A0,ASY-53727-127;A0,6BRK,00170,R,302,,DOBLADORA AMADA,80.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04183-01;A0,ASY-04183-01;A0,ASY-53727-127;A0,6APEM,00190,R,400,,INSERCION DE PEM,15.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04184-02;A0,ASY-04184-02;A0,ASY-53727-127;A0,6N04,00110,R,102,,PUNZONADO EN TORRETA,127.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04184-02;A0,ASY-04184-02;A0,ASY-53727-127;A0,6BRK,00150,R,302,,DOBLADORA AMADA,35.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04184-02;A0,ASY-04184-02;A0,ASY-53727-127;A0,6APEM,00170,R,400,,INSERCION DE PEM,18.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04192-06;B0,ASY-04192-06;B0,ASY-53727-127;A0,6AARI,00100,R,801,,ENSAMBLE SEGUN DIBUJO,2.0,0.0,2.0
