Process Sheet Number,EndItemPartNumber,Parent:,Work Center/Vendor,Description 1,Description 2,Step Number,Run/Setup,Operation Code,Component Part Number,Description 11,Description 21,Standard Rate,Lead Time,Crew Size,Overlap Step Number,Overlap Quantity
ASY-03185-02;A0 S,ASY-03185-02;A0,ASY-53727-127;A0,6APEM,JCG 11 01 22,,00170,R,400  ,,INSERCION DE PEM,CLS-M3-1 (7X),15,0,1,,0
ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6N04 ,JCG 05 28 20,,00110,R,102  ,,PUNZONADO EN TORRETA,,15,0,1,,0
ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6DBR ,JCG 05 28 20,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6BRK ,JCG 05 28 20,,00140,R,302  ,,DOBLADORA AMADA,,60,0,1,,0
ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6APEM,JCG 05 28 20,,00160,R,400  ,,INSERCION DE PEM,GPSS-M3-6,120,0,1,,0
ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6APEM,JCG 05 28 20,,00180,R,400  ,,INSERCION DE PEM,H MECH-01254-01 (8X),12,0,1,,0
ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6APEM,JCG 05 28 20,,00200,R,400  ,,INSERCION DE PEM,CLS M4X0.7 (2X),50,0,1,,0
ASY-03187-07;A0,ASY-03187-07;A0,ASY-53727-127;A0,6ASB  ,JCG 05 28 20,,00210,R,801  ,,ENSAMBLE SEGUN DIBUJO,,150,0,1,,0
ASY-03188-06;A0,ASY-03188-06;A0,ASY-53727-127;A0,6N042 ,JCG 06 01 20,,00110,R,102  ,,PUNZONADO EN TORRETA, CON ALIMENTADOR,12,0,1,,0
ASY-03188-06;A0,ASY-03188-06;A0,ASY-53727-127;A0,6DBR  ,JCG 06 01 20,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,60,0,1,,0
ASY-03188-06;A0,ASY-03188-06;A0,ASY-53727-127;A0,6BRK  ,JCG 06 01 20,,00140,R,302  ,,DOBLADORA AMADA,,20,0,1,,0
ASY-03188-06;A0,ASY-03188-06;A0,ASY-53727-127;A0,6BRK  ,JCG 06 01 20,,00160,R,302  ,,DOBLADORA AMADA,,20,0,1,,0
ASY-03188-06;A0,ASY-03188-06;A0,ASY-53727-127;A0,6APEM ,JCG 06 01 20,,00180,R,400  ,,INSERCION DE PEM,MECH-01254-01 (8X),13,0,1,,0
ASY-03188-06;A0,ASY-03188-06;A0,ASY-53727-127;A0,6APEM ,JCG 06 01 20,,00200,R,400  ,,INSERCION DE PEM,CLS-M4-1 (2X),30,0,1,,0
ASY-03189-05;A0,ASY-03189-05;A0,ASY-53727-127;A0,6N04  ,JCG 11 10 19,,00110,R,102  ,,PUNZONADO EN TORRETA,,55,0,1,,0
ASY-03189-05;A0,ASY-03189-05;A0,ASY-53727-127;A0,6DBR ,JCG 11 10 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03189-05;A0,ASY-03189-05;A0,ASY-53727-127;A0,6BRK  ,JCG 11 10 19,,00140,R,302  ,,DOBLADORA AMADA,,25,0,1,,0
ASY-03189-05;A0,ASY-03189-05;A0,ASY-53727-127;A0,6APEM ,JCG 11 10 19,,00160,R,400  ,,INSERCION DE PEM,CLS-M3-1 (4X),30,0,1,,0
ASY-03278-05;A0,ASY-03278-05;A0,ASY-53727-127;A0,6AARI ,JCG 10 04 19,,00110,R,801  ,,ENSAMBLE SEGUN DIBUJO,,8,0,1,,0
ASY-03327-02;A0,ASY-03327-02;A0,ASY-53727-127;A0,6N03  ,KSS 01 24 19,,00110,R,104  ,,CORTE LASER AMADA,,180,0,0,,0
ASY-03327-02;A0,ASY-03327-02;A0,ASY-53727-127;A0,6BRG  ,KSS 01 24 19,,00130,R,303  ,,ESTAMPADO NO PARTE,,250,0,1,,0
ASY-03327-02;A0,ASY-03327-02;A0,ASY-53727-127;A0,6BRK  ,KSS 01 24 19,,00150,R,302  ,,DOBLADORA AMADA,,48,0,1,,0
ASY-03327-02;A0,ASY-03327-02;A0,ASY-53727-127;A0,6APEM ,KSS 01 24 19,,00170,R,400  ,,INSERCION DE PEM,FH4-M3-10 (2X),60,0,1,,0
ASY-03327-02;A0,ASY-03327-02;A0,ASY-53727-127;A0,6APEM ,KSS 01 24 19,,00190,R,400  ,,INSERCION DE PEM,TP4-3MM-10 (2X),60,0,1,,0
ASY-03327-02;A0,ASY-03327-02;A0,ASY-53727-127;A0,6ASB  ,KSS 01 24 19,,00210,R,801  ,,ENSAMBLE SEGUN DIBUJO,,50,0,1,,0
ASY-03330-03;A0,ASY-03330-03;A0,ASY-53727-127;A0,6AARI ,JCG 10 18 19,,00110,R,801  ,,ENSAMBLE SEGUN DIBUJO,,25,0,1,,0
ASY-03333-04;A0,ASY-03333-04;A0,ASY-53727-127;A0,6N04  ,JCG 11 10 19,,00110,R,102  ,,PUNZONADO EN TORRETA,,300,0,1,,0
ASY-03333-04;A0,ASY-03333-04;A0,ASY-53727-127;A0,6DBR ,JCG 11 10 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03333-04;A0,ASY-03333-04;A0,ASY-53727-127;A0,6BRK ,JCG 11 10 19,,00140,R,302  ,,DOBLADORA AMADA,,300,0,1,,0
ASY-03333-04;A0,ASY-03333-04;A0,ASY-53727-127;A0,6APEM ,JCG 11 10 19,,00160,R,400  ,,INSERCION DE PEM, SOS-63.6-6 (2X),60,0,1,,0
ASY-03668-01;A0,ASY-03668-01;A0,ASY-53727-127;A0,6N04  ,KSS 01 23 19,,00110,R,102  ,,PUNZONADO EN TORRETA,,200,0,1,,0
ASY-03668-01;A0,ASY-03668-01;A0,ASY-53727-127;A0,6DBR  ,KSS 01 23 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03668-01;A0,ASY-03668-01;A0,ASY-53727-127;A0,6BRK  ,KSS 01 23 19,,00140,R,302  ,,DOBLADORA AMADA,,145,0,1,,0
ASY-03668-01;A0,ASY-03668-01;A0,ASY-53727-127;A0,6APEM ,KSS 01 23 19,,00160,R,400  ,,INSERCION DE PEM,CLS-M3-1 (3X),40,0,1,,0
ASY-03727-27;A0,ASY-03727-27;A0,ASY-53727-127;A0,6AARI,JCG 20 28 24,,00100,R,801  ,,ENSAMBLE SEGUN, INSTRUCCION Y TEST,0.667,0,2,,0
ASY-03727-27;A0,ASY-03727-27;A0,ASY-53727-127;A0,6AARI ,JCG 20 28 24,,00110,R,     ,,PRUEBA EN EL CUARTO , DE TEST,0.667,0,2,00100,1
ASY-04138-02;A0,ASY-04138-02;A0,ASY-53727-127;A0,6ASAN ,JCG 07 04 19,,00100,R,801  ,,ENSAMBLE SEGUN DIBUJO,,120,0,1,,0
ASY-04181-02;A0,ASY-04181-02;A0,ASY-53727-127;A0,6N04  ,JCG 20 08 24,,00110,R,102  ,,PUNZONADO EN TORRETA,,80,0,1,,0
ASY-04181-02;A0,ASY-04181-02;A0,ASY-53727-127;A0,6P200,JCG 20 08 24,,00130,R,     ,,RUN PIERCE/BLANK DIE,,300,0,1,00110,250
ASY-04181-02;A0,ASY-04181-02;A0,ASY-53727-127;A0,6BRK ,JCG 20 08 24,,00150,R,302  ,,DOBLADORA AMADA,,45,0,1,00130,1
ASY-04181-02;A0,ASY-04181-02;A0,ASY-53727-127;A0,6APEM ,JCG 20 08 24,,00170,R,400  ,,INSERCION DE PEM,AS-M4-1 (4X),67,0,1,00150,75
